dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,BIOMASS,475
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,CCGT,14699
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,COAL,0
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,INTELEC,0
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,INTEW,0
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,INTFR,-802
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,INTIFA2,-898
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,INTIRL,20
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,INTNED,-790
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,INTNEM,-780
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,INTNSL,-6
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,NPSHYD,243
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,NUCLEAR,5290
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,OCGT,2
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,OIL,0
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,OTHER,186
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,PS,54
FUELHH,2022-05-08T00:00:00Z,2022-05-07T23:30:00Z,2022-05-08,2,WIND,3239
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,BIOMASS,474
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,CCGT,15026
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,COAL,0
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,INTELEC,0
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,INTEW,8
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,INTFR,-792
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,INTIFA2,-892
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,INTIRL,90
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,INTNED,-790
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,INTNEM,-780
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,INTNSL,-14
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,NPSHYD,232
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,NUCLEAR,5286
FUELHH,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2022-05-08,1,OCGT,2
