dataset,publishTime,startTime,generation
WINDFOR,2022-05-07T23:30:00Z,2022-05-07T20:00:00Z,2042
WINDFOR,2022-05-07T23:30:00Z,2022-05-07T21:00:00Z,2283
WINDFOR,2022-05-07T23:30:00Z,2022-05-07T22:00:00Z,2469
WINDFOR,2022-05-07T23:30:00Z,2022-05-07T23:00:00Z,2690
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T00:00:00Z,2868
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T01:00:00Z,3013
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T02:00:00Z,3179
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T03:00:00Z,3223
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T04:00:00Z,3202
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T05:00:00Z,3296
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T06:00:00Z,3296
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T07:00:00Z,3222
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T08:00:00Z,3104
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T09:00:00Z,3159
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T10:00:00Z,3322
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T11:00:00Z,3526
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T12:00:00Z,3728
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T13:00:00Z,3900
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T14:00:00Z,4150
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T15:00:00Z,4426
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T16:00:00Z,4702
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T17:00:00Z,4827
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T18:00:00Z,4782
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T19:00:00Z,5064
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T20:00:00Z,5519
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T21:00:00Z,5812
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T22:00:00Z,5985
WINDFOR,2022-05-07T23:30:00Z,2022-05-08T23:00:00Z,6058
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T00:00:00Z,6066
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T01:00:00Z,5912
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T02:00:00Z,5795
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T03:00:00Z,5755
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T04:00:00Z,5966
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T05:00:00Z,6094
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T06:00:00Z,6455
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T07:00:00Z,6881
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T08:00:00Z,7399
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T09:00:00Z,7968
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T10:00:00Z,8580
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T11:00:00Z,9046
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T12:00:00Z,9543
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T13:00:00Z,10244
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T14:00:00Z,11080
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T15:00:00Z,11976
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T16:00:00Z,12734
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T17:00:00Z,13288
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T18:00:00Z,13642
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T19:00:00Z,13665
WINDFOR,2022-05-07T23:30:00Z,2022-05-09T20:00:00Z,13621
WINDFOR,2022-05-07T19:30:00Z,2022-05-07T20:00:00Z,2042
WINDFOR,2022-05-07T19:30:00Z,2022-05-07T21:00:00Z,2283
WINDFOR,2022-05-07T19:30:00Z,2022-05-07T22:00:00Z,2469
WINDFOR,2022-05-07T19:30:00Z,2022-05-07T23:00:00Z,2690
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T00:00:00Z,2868
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T01:00:00Z,3013
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T02:00:00Z,3178
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T03:00:00Z,3223
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T04:00:00Z,3202
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T05:00:00Z,3296
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T06:00:00Z,3296
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T07:00:00Z,3222
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T08:00:00Z,3104
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T09:00:00Z,3159
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T10:00:00Z,3322
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T11:00:00Z,3526
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T12:00:00Z,3728
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T13:00:00Z,3901
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T14:00:00Z,4150
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T15:00:00Z,4426
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T16:00:00Z,4701
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T17:00:00Z,4827
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T18:00:00Z,4782
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T19:00:00Z,5064
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T20:00:00Z,5519
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T21:00:00Z,5812
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T22:00:00Z,5985
WINDFOR,2022-05-07T19:30:00Z,2022-05-08T23:00:00Z,6058
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T00:00:00Z,6066
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T01:00:00Z,5912
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T02:00:00Z,5795
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T03:00:00Z,5754
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T04:00:00Z,5965
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T05:00:00Z,6093
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T06:00:00Z,6455
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T07:00:00Z,6881
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T08:00:00Z,7399
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T09:00:00Z,7969
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T10:00:00Z,8581
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T11:00:00Z,9048
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T12:00:00Z,9545
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T13:00:00Z,10246
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T14:00:00Z,11082
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T15:00:00Z,11978
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T16:00:00Z,12735
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T17:00:00Z,13288
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T18:00:00Z,13641
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T19:00:00Z,13665
WINDFOR,2022-05-07T19:30:00Z,2022-05-09T20:00:00Z,13621
WINDFOR,2022-05-07T16:30:00Z,2022-05-07T20:00:00Z,2086
WINDFOR,2022-05-07T16:30:00Z,2022-05-07T21:00:00Z,2150
WINDFOR,2022-05-07T16:30:00Z,2022-05-07T22:00:00Z,2318
WINDFOR,2022-05-07T16:30:00Z,2022-05-07T23:00:00Z,2514
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T00:00:00Z,2692
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T01:00:00Z,2820
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T02:00:00Z,2987
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T03:00:00Z,3023
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T04:00:00Z,2934
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T05:00:00Z,3070
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T06:00:00Z,3094
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T07:00:00Z,2981
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T08:00:00Z,2857
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T09:00:00Z,2890
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T10:00:00Z,3019
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T11:00:00Z,3246
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T12:00:00Z,3447
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T13:00:00Z,3605
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T14:00:00Z,3876
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T15:00:00Z,4237
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T16:00:00Z,4518
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T17:00:00Z,4711
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T18:00:00Z,4599
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T19:00:00Z,4821
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T20:00:00Z,5344
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T21:00:00Z,5666
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T22:00:00Z,5860
WINDFOR,2022-05-07T16:30:00Z,2022-05-08T23:00:00Z,5975
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T00:00:00Z,6014
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T01:00:00Z,5962
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T02:00:00Z,5971
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T03:00:00Z,6006
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T04:00:00Z,6544
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T05:00:00Z,6783
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T06:00:00Z,7036
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T07:00:00Z,7441
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T08:00:00Z,7829
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T09:00:00Z,8198
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T10:00:00Z,8599
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T11:00:00Z,9017
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T12:00:00Z,9458
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T13:00:00Z,10089
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T14:00:00Z,10845
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T15:00:00Z,11669
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T16:00:00Z,12389
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T17:00:00Z,12941
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T18:00:00Z,13310
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T19:00:00Z,13430
WINDFOR,2022-05-07T16:30:00Z,2022-05-09T20:00:00Z,13480
WINDFOR,2022-05-07T12:30:00Z,2022-05-07T20:00:00Z,2376
WINDFOR,2022-05-07T12:30:00Z,2022-05-07T21:00:00Z,2374
WINDFOR,2022-05-07T12:30:00Z,2022-05-07T22:00:00Z,2509
WINDFOR,2022-05-07T12:30:00Z,2022-05-07T23:00:00Z,2629
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T00:00:00Z,2852
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T01:00:00Z,3013
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T02:00:00Z,3159
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T03:00:00Z,3176
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T04:00:00Z,3066
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T05:00:00Z,3168
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T06:00:00Z,3154
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T07:00:00Z,3049
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T08:00:00Z,2940
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T09:00:00Z,2964
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T10:00:00Z,3019
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T11:00:00Z,3215
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T12:00:00Z,3419
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T13:00:00Z,3584
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T14:00:00Z,3791
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T15:00:00Z,4073
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T16:00:00Z,4187
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T17:00:00Z,4261
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T18:00:00Z,4085
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T19:00:00Z,4154
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T20:00:00Z,4572
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T21:00:00Z,4957
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T22:00:00Z,4986
WINDFOR,2022-05-07T12:30:00Z,2022-05-08T23:00:00Z,5301
WINDFOR,2022-05-07T12:30:00Z,2022-05-09T00:00:00Z,5633
WINDFOR,2022-05-07T12:30:00Z,2022-05-09T01:00:00Z,5861
WINDFOR,2022-05-07T12:30:00Z,2022-05-09T02:00:00Z,6127
WINDFOR,2022-05-07T12:30:00Z,2022-05-09T03:00:00Z,6433
WINDFOR,2022-05-07T12:30:00Z,2022-05-09T04:00:00Z,6680
